"totalPaticipant","totalOrder","totalOrderAccept","totalOrderReject","WB","WB_after","Ham","Ham_after","Onion","Onion_after","Pickle","Pickle_after","Tuna","Tuna_after","Spread","Spread_after"
"0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"5","500","500","0","100000.0","58000.0","100000.0","75000.0","0.0","0.0","0.0","0.0","0.0","0.0","100000.0","97000.0"
"5","500","500","0","58000.0","16000.0","75000.0","50000.0","0.0","0.0","0.0","0.0","0.0","0.0","97000.0","94000.0"
"5","500","190","310","16000.0","40.0","50000.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","94000.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","500","0","500","40.0","40.0","40500.0","40500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","92860.0"
"5","650","650","0","100040.0","45440.0","140500.0","75500.0","0.0","0.0","0.0","0.0","0.0","0.0","92860.0","88960.0"
"5","650","540","110","45440.0","80.0","75500.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","88960.0","85720.0"
"5","650","0","650","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","0","500","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","0","500","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","0","500","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","0","500","80.0","80.0","42000.0","42000.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","85720.0"
"5","500","500","0","210040.0","168040.0","126500.0","76500.0","0.0","0.0","0.0","0.0","0.0","0.0","85720.0","82720.0"
"5","500","500","0","168040.0","126040.0","76500.0","36500.0","0.0","0.0","0.0","0.0","0.0","0.0","82720.0","79720.0"
"5","500","500","0","126040.0","84040.0","36500.0","11500.0","0.0","0.0","0.0","0.0","0.0","0.0","79720.0","76720.0"
"5","500","230","270","84040.0","64720.0","11500.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","76720.0","75340.0"
"5","500","0","500","64720.0","64720.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75340.0","75340.0"
"5","500","0","500","64720.0","64720.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","75340.0","75340.0"
